filename,category
00173.jpg,soft_right
00174.jpg,stop
00175.jpg,stop
00176.jpg,stop
00177.jpg,stop
00178.jpg,stop
00179.jpg,stop
00180.jpg,stop
00181.jpg,stop
00182.jpg,stop
00183.jpg,stop
00184.jpg,stop
00185.jpg,stop
00186.jpg,stop
00187.jpg,stop
00188.jpg,stop
00189.jpg,stop
00190.jpg,stop
00191.jpg,stop
00192.jpg,stop
00193.jpg,stop
00194.jpg,stop
00195.jpg,stop
00196.jpg,stop
00197.jpg,stop
00198.jpg,stop
00199.jpg,stop
00200.jpg,stop
00201.jpg,stop
00202.jpg,stop
00203.jpg,stop
00204.jpg,stop
00205.jpg,stop
00206.jpg,stop
00207.jpg,stop
00208.jpg,stop
00209.jpg,soft_right
00210.jpg,soft_right
00211.jpg,soft_right
00212.jpg,soft_right
00213.jpg,soft_right
00214.jpg,soft_right
00215.jpg,soft_right
00216.jpg,soft_right
00217.jpg,soft_right
00218.jpg,soft_right
00219.jpg,soft_right
00220.jpg,soft_right
00221.jpg,soft_right
00222.jpg,soft_right
00223.jpg,soft_right
00224.jpg,soft_right
00225.jpg,straight
00226.jpg,straight
00227.jpg,straight
00228.jpg,straight
00229.jpg,straight
00230.jpg,straight
00231.jpg,straight
00232.jpg,straight
00233.jpg,straight
00234.jpg,straight
00235.jpg,straight
00236.jpg,straight
00237.jpg,straight
00238.jpg,straight
00239.jpg,soft_right
00240.jpg,soft_right
00241.jpg,soft_right
00242.jpg,soft_right
00243.jpg,soft_right
00244.jpg,soft_right
00245.jpg,soft_right
00246.jpg,soft_right
00247.jpg,soft_right
00248.jpg,soft_right
00249.jpg,soft_right
00250.jpg,soft_right
00251.jpg,soft_right
00252.jpg,soft_right
00253.jpg,straight
00254.jpg,soft_left
00255.jpg,soft_left
00256.jpg,soft_left
00257.jpg,hard_left
00258.jpg,hard_left
00259.jpg,soft_left
00260.jpg,soft_left
00261.jpg,straight
00262.jpg,soft_right
00263.jpg,soft_right
00264.jpg,soft_right
00265.jpg,hard_right
00266.jpg,hard_right
00267.jpg,hard_right
00268.jpg,hard_right
00269.jpg,hard_right
00270.jpg,stop
00271.jpg,stop
00272.jpg,stop
00273.jpg,stop
00274.jpg,stop
00275.jpg,stop
00276.jpg,stop
00277.jpg,stop
00278.jpg,stop
00279.jpg,stop
00280.jpg,stop
00281.jpg,stop
00282.jpg,stop
00283.jpg,stop
00284.jpg,stop
00285.jpg,stop
00286.jpg,stop
00287.jpg,stop
00288.jpg,stop
00289.jpg,stop
00290.jpg,stop
00291.jpg,stop
00292.jpg,stop
00293.jpg,stop
00294.jpg,stop
00295.jpg,stop
00296.jpg,stop
00297.jpg,stop
00298.jpg,stop
00299.jpg,stop
00300.jpg,stop
00301.jpg,stop
00302.jpg,stop
00303.jpg,stop
00304.jpg,stop
00305.jpg,stop
00306.jpg,stop
00307.jpg,stop
00308.jpg,stop
00309.jpg,straight
00310.jpg,straight
00311.jpg,straight
00312.jpg,straight
00313.jpg,straight
00314.jpg,straight
00315.jpg,straight
00316.jpg,straight
00317.jpg,straight
00318.jpg,straight
00319.jpg,straight
00320.jpg,straight
00321.jpg,straight
00322.jpg,straight
00323.jpg,straight
00324.jpg,straight
00325.jpg,straight
00326.jpg,straight
00327.jpg,straight
00328.jpg,straight
00329.jpg,straight
00330.jpg,straight
00331.jpg,straight
00332.jpg,straight
00333.jpg,straight
00334.jpg,straight
00335.jpg,straight
00336.jpg,straight
00337.jpg,straight
00338.jpg,straight
00339.jpg,straight
00340.jpg,straight
00341.jpg,straight
00342.jpg,straight
00343.jpg,straight
00344.jpg,straight
00345.jpg,straight
00346.jpg,straight
00347.jpg,straight
00348.jpg,straight
00349.jpg,soft_right
00350.jpg,soft_right
00351.jpg,soft_right
00352.jpg,soft_right
00353.jpg,straight
00354.jpg,straight
00355.jpg,straight
00356.jpg,straight
00357.jpg,straight
00358.jpg,soft_right
00359.jpg,soft_right
00360.jpg,soft_right
00361.jpg,stop
00362.jpg,stop
00363.jpg,stop
00364.jpg,stop
00365.jpg,stop
00366.jpg,stop
00367.jpg,stop
00368.jpg,stop
00369.jpg,stop
00370.jpg,stop
00371.jpg,stop
00372.jpg,stop
00373.jpg,stop
00374.jpg,stop
00375.jpg,stop
00376.jpg,stop
00377.jpg,stop
00378.jpg,stop
00379.jpg,stop
00380.jpg,stop
00381.jpg,stop
00382.jpg,stop
00383.jpg,stop
00384.jpg,stop
00385.jpg,stop
00386.jpg,stop
00387.jpg,stop
00388.jpg,stop
00389.jpg,stop
00390.jpg,stop
00391.jpg,stop
00392.jpg,stop
00393.jpg,stop
00394.jpg,stop
00395.jpg,stop
00396.jpg,stop
00397.jpg,stop
00398.jpg,stop
00399.jpg,stop
00400.jpg,stop
00401.jpg,stop
00402.jpg,stop
00403.jpg,stop
00404.jpg,stop
00405.jpg,stop
00406.jpg,stop
00407.jpg,hard_left
00408.jpg,hard_left
00409.jpg,hard_left
00410.jpg,hard_left
00411.jpg,hard_left
00412.jpg,hard_left
00413.jpg,hard_left
00414.jpg,hard_left
00415.jpg,hard_left
00416.jpg,soft_left
00417.jpg,soft_left
00418.jpg,soft_left
00419.jpg,soft_left
00420.jpg,straight
00421.jpg,straight
00422.jpg,straight
00423.jpg,soft_right
00424.jpg,soft_right
00425.jpg,soft_right
00426.jpg,soft_right
00427.jpg,soft_right
00428.jpg,soft_right
00429.jpg,soft_right
00430.jpg,soft_right
00431.jpg,soft_right
00432.jpg,soft_right
00433.jpg,soft_right
00434.jpg,soft_right
00435.jpg,soft_right
00436.jpg,soft_right
00437.jpg,soft_right
00438.jpg,soft_right
00439.jpg,soft_right
00440.jpg,soft_right
00441.jpg,soft_right
00442.jpg,soft_right
00443.jpg,soft_right
00444.jpg,soft_right
00445.jpg,soft_right
00446.jpg,soft_right
00447.jpg,soft_right
00448.jpg,straight
00449.jpg,straight
00450.jpg,straight
00451.jpg,straight
00452.jpg,straight
00453.jpg,straight
00454.jpg,straight
00455.jpg,straight
00456.jpg,straight
00457.jpg,straight
00458.jpg,straight
00459.jpg,straight
00460.jpg,straight
00461.jpg,straight
00462.jpg,straight
00463.jpg,soft_right
00464.jpg,soft_right
00465.jpg,soft_right
00466.jpg,soft_right
00467.jpg,soft_right
00468.jpg,soft_right
00469.jpg,soft_right
00470.jpg,soft_right
00471.jpg,soft_right
00472.jpg,soft_right
00473.jpg,soft_right
00474.jpg,soft_right
00475.jpg,straight
00476.jpg,straight
00477.jpg,straight
00478.jpg,straight
00479.jpg,straight
00480.jpg,straight
00481.jpg,straight
00482.jpg,straight
00483.jpg,straight
00484.jpg,straight
00485.jpg,straight
00486.jpg,soft_right
00487.jpg,soft_right
00488.jpg,stop
00489.jpg,stop
00490.jpg,stop
00491.jpg,stop
00492.jpg,stop
00493.jpg,stop
00494.jpg,stop
00495.jpg,stop
00496.jpg,stop
00497.jpg,stop
00498.jpg,stop
00499.jpg,stop
00500.jpg,stop
00501.jpg,stop
00502.jpg,stop
00503.jpg,stop
00504.jpg,stop
00505.jpg,stop
00506.jpg,stop
00507.jpg,stop
00508.jpg,stop
00509.jpg,stop
00510.jpg,stop
00511.jpg,stop
00512.jpg,stop
00513.jpg,stop
00514.jpg,stop
00515.jpg,stop
00516.jpg,stop
00517.jpg,stop
00518.jpg,stop
00519.jpg,stop
00520.jpg,stop
00521.jpg,stop
00522.jpg,straight
00523.jpg,straight
00524.jpg,straight
00525.jpg,straight
00526.jpg,straight
00527.jpg,straight
00528.jpg,straight
00529.jpg,straight
00530.jpg,soft_right
00531.jpg,soft_right
00532.jpg,soft_right
00533.jpg,soft_right
00534.jpg,soft_right
00535.jpg,soft_right
00536.jpg,soft_right
00537.jpg,soft_right
00538.jpg,soft_right
00539.jpg,soft_right
00540.jpg,soft_right
00541.jpg,soft_right
00542.jpg,soft_right
00543.jpg,hard_right
00544.jpg,hard_right
00545.jpg,stop
00546.jpg,stop
00547.jpg,stop
00548.jpg,stop
00549.jpg,stop
00550.jpg,stop
00551.jpg,stop
00552.jpg,stop
00553.jpg,stop
00554.jpg,stop
00555.jpg,stop
00556.jpg,stop
00557.jpg,stop
00558.jpg,stop
00559.jpg,stop
00560.jpg,stop
00561.jpg,stop
00562.jpg,stop
00563.jpg,stop
00564.jpg,stop
00565.jpg,stop
00566.jpg,stop
00567.jpg,stop
00568.jpg,stop
00569.jpg,stop
00570.jpg,stop
00571.jpg,stop
00572.jpg,stop
00573.jpg,stop
00574.jpg,stop
00575.jpg,stop
00576.jpg,stop
00577.jpg,stop
00578.jpg,stop
00579.jpg,straight
00580.jpg,straight
00581.jpg,soft_right
00582.jpg,soft_right
00583.jpg,soft_right
00584.jpg,soft_right
00585.jpg,soft_right
00586.jpg,stop
00587.jpg,stop
00588.jpg,stop
00589.jpg,stop
00590.jpg,stop
00591.jpg,stop
00592.jpg,stop
00593.jpg,stop
00594.jpg,stop
00595.jpg,stop
00596.jpg,stop
00597.jpg,stop
00598.jpg,stop
00599.jpg,stop
00600.jpg,stop
00601.jpg,stop
00602.jpg,stop
00603.jpg,stop
00604.jpg,stop
00605.jpg,stop
00606.jpg,stop
00607.jpg,stop
00608.jpg,stop
00609.jpg,stop
00610.jpg,stop
00611.jpg,stop
00612.jpg,stop
00613.jpg,stop
00614.jpg,stop
00615.jpg,stop
00616.jpg,stop
00617.jpg,stop
00618.jpg,stop
00619.jpg,stop
00620.jpg,stop
00621.jpg,stop
00622.jpg,stop
00623.jpg,stop
00624.jpg,stop
00625.jpg,stop
00626.jpg,stop
00627.jpg,stop
00628.jpg,stop
00629.jpg,stop
00630.jpg,stop
00631.jpg,stop
00632.jpg,stop
00633.jpg,stop
00634.jpg,stop
00635.jpg,not_visible
00636.jpg,not_visible
00637.jpg,not_visible
00638.jpg,not_visible
00639.jpg,not_visible
00640.jpg,not_visible
00641.jpg,not_visible
00642.jpg,not_visible
00643.jpg,not_visible
00644.jpg,not_visible
00645.jpg,not_visible
00646.jpg,not_visible
00647.jpg,not_visible
00648.jpg,not_visible
00649.jpg,not_visible
00650.jpg,not_visible
00651.jpg,not_visible
00652.jpg,not_visible
00653.jpg,not_visible
00654.jpg,not_visible
00655.jpg,not_visible
00656.jpg,not_visible
00657.jpg,not_visible
00658.jpg,not_visible
00659.jpg,not_visible
00660.jpg,not_visible
00661.jpg,not_visible
00662.jpg,not_visible
00663.jpg,not_visible
00664.jpg,not_visible
00665.jpg,not_visible
00666.jpg,not_visible
00667.jpg,not_visible
00668.jpg,not_visible
00669.jpg,not_visible
00670.jpg,not_visible
00671.jpg,not_visible
00672.jpg,not_visible
00673.jpg,not_visible
00674.jpg,not_visible
00675.jpg,not_visible
00676.jpg,not_visible
00677.jpg,not_visible
00678.jpg,not_visible
00679.jpg,not_visible
00680.jpg,not_visible
00681.jpg,not_visible
00682.jpg,not_visible
00683.jpg,not_visible
00684.jpg,not_visible
00685.jpg,not_visible
00686.jpg,not_visible
00687.jpg,not_visible
00688.jpg,not_visible
00689.jpg,not_visible
00690.jpg,not_visible
00691.jpg,not_visible
00692.jpg,not_visible
00693.jpg,not_visible
00694.jpg,not_visible
00695.jpg,not_visible
00696.jpg,not_visible
00697.jpg,not_visible
00698.jpg,not_visible
00699.jpg,not_visible
00700.jpg,not_visible
00701.jpg,not_visible
00702.jpg,not_visible
00703.jpg,not_visible
00704.jpg,not_visible
00705.jpg,not_visible
00706.jpg,not_visible
00707.jpg,not_visible
00708.jpg,not_visible
00709.jpg,not_visible
00710.jpg,not_visible
00711.jpg,not_visible
00712.jpg,not_visible
00713.jpg,not_visible
00714.jpg,not_visible
00715.jpg,not_visible
00716.jpg,not_visible
00717.jpg,not_visible
00718.jpg,not_visible
00719.jpg,not_visible
00720.jpg,not_visible
00721.jpg,not_visible
00722.jpg,not_visible
00723.jpg,not_visible
00724.jpg,not_visible
00725.jpg,not_visible
00726.jpg,not_visible
00727.jpg,not_visible
00728.jpg,not_visible
00729.jpg,not_visible
00730.jpg,not_visible
00731.jpg,not_visible
00732.jpg,not_visible
00733.jpg,not_visible
00734.jpg,not_visible
00735.jpg,not_visible
00736.jpg,not_visible
00737.jpg,not_visible
00738.jpg,not_visible
00739.jpg,not_visible
00740.jpg,not_visible
00741.jpg,not_visible
00742.jpg,not_visible
00743.jpg,not_visible
00744.jpg,not_visible
00745.jpg,not_visible
00746.jpg,not_visible
00747.jpg,not_visible
00748.jpg,not_visible
00749.jpg,not_visible
00750.jpg,not_visible
00751.jpg,not_visible
00752.jpg,not_visible
00753.jpg,not_visible
00754.jpg,not_visible
00755.jpg,not_visible
00756.jpg,not_visible
00757.jpg,not_visible
00758.jpg,not_visible
00759.jpg,not_visible
00760.jpg,not_visible
00761.jpg,not_visible
00762.jpg,not_visible
00763.jpg,not_visible
00764.jpg,not_visible
00765.jpg,not_visible
00766.jpg,not_visible
00767.jpg,not_visible
00768.jpg,not_visible
00769.jpg,not_visible
00770.jpg,not_visible
00771.jpg,not_visible
00772.jpg,not_visible
00773.jpg,not_visible
00774.jpg,not_visible
00775.jpg,not_visible
00776.jpg,not_visible
00777.jpg,not_visible
00778.jpg,not_visible
00779.jpg,not_visible
00780.jpg,not_visible
00781.jpg,not_visible
00782.jpg,not_visible
00783.jpg,not_visible
00784.jpg,not_visible
00785.jpg,not_visible
00786.jpg,not_visible
00787.jpg,not_visible
00788.jpg,not_visible
